                      * c:\esimavkk\flashadc\flashadc.cir
                      Transient Analysis  Sat Oct 08 15:36:52  2022
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	-6.68715e-04	-9.06122e-15	
1	1.000000e-04	-1.13413e-13	-6.68715e-04	3.963116e-15	
2	2.000000e-04	-1.27189e-13	-6.68715e-04	4.743544e-15	
3	4.000000e-04	-1.38068e-13	-6.68715e-04	4.374250e-15	
4	8.000000e-04	-1.51566e-13	-6.68715e-04	4.376542e-15	
5	1.600000e-03	-1.61914e-13	-6.68715e-04	3.677754e-15	
6	3.200000e-03	-1.64575e-13	-6.68715e-04	3.048015e-15	
7	6.400000e-03	-1.63657e-13	-6.68715e-04	6.267287e-15	
8	1.280000e-02	-1.63193e-13	-6.68715e-04	3.756763e-15	
9	2.280000e-02	-1.61070e-13	-6.68715e-04	1.757094e-15	
10	3.280000e-02	-1.58687e-13	-6.68715e-04	2.130825e-15	
11	4.280000e-02	-1.55304e-13	-6.68715e-04	1.629151e-15	
12	5.280000e-02	-1.51579e-13	-6.68715e-04	7.050937e-16	
13	6.280000e-02	-1.46990e-13	-6.68715e-04	1.626524e-16	
14	7.280000e-02	-1.42032e-13	-6.68715e-04	-4.89298e-17	
15	8.280000e-02	-1.36342e-13	-6.68715e-04	-2.87733e-16	
16	9.280000e-02	-1.30294e-13	-6.68715e-04	-3.93625e-16	
17	1.028000e-01	-1.23647e-13	-6.68715e-04	-7.75912e-16	
18	1.128000e-01	-1.16692e-13	-6.68715e-04	-9.99425e-16	
19	1.228000e-01	-1.09238e-13	-6.68715e-04	-1.50564e-15	
20	1.328000e-01	-1.01578e-13	-6.68715e-04	-2.28359e-15	
21	1.428000e-01	-9.35197e-14	-6.68715e-04	-2.52755e-15	
22	1.528000e-01	-8.53332e-14	-6.68715e-04	-2.52590e-15	
23	1.628000e-01	-7.68718e-14	-6.68715e-04	-2.47126e-15	
24	1.728000e-01	-6.83422e-14	-6.68715e-04	-2.74644e-15	
25	1.828000e-01	-5.96315e-14	-6.68715e-04	-4.44565e-15	
26	1.928000e-01	-5.08907e-14	-6.68715e-04	-4.40574e-15	
27	2.028000e-01	-4.20722e-14	-6.68715e-04	-3.86373e-15	
28	2.128000e-01	-3.32244e-14	-6.68715e-04	-4.49725e-15	
29	2.228000e-01	-2.43479e-14	-6.68715e-04	-4.71666e-15	
30	2.328000e-01	-1.54668e-14	-6.68715e-04	-5.21425e-15	
31	2.428000e-01	-6.56604e-15	-6.68715e-04	-6.09127e-15	
32	2.528000e-01	2.322453e-15	-6.68715e-04	-6.61468e-15	
33	2.628000e-01	1.121479e-14	-6.68715e-04	-6.39147e-15	
34	2.728000e-01	2.012221e-14	-6.68715e-04	-6.10541e-15	
35	2.828000e-01	2.897318e-14	-6.68715e-04	-6.68608e-15	
36	2.928000e-01	3.786112e-14	-6.68715e-04	-7.27603e-15	
37	3.028000e-01	4.666608e-14	-6.68715e-04	-8.18208e-15	
38	3.128000e-01	5.547524e-14	-6.68715e-04	-8.51658e-15	
39	3.228000e-01	6.415887e-14	-6.68715e-04	-8.50386e-15	
40	3.328000e-01	7.281304e-14	-6.68715e-04	-8.66067e-15	
41	3.428000e-01	8.127024e-14	-6.68715e-04	-8.75939e-15	
42	3.528000e-01	8.963366e-14	-6.68715e-04	-8.94633e-15	
43	3.628000e-01	9.771263e-14	-6.68715e-04	-9.47551e-15	
44	3.728000e-01	1.055974e-13	-6.68715e-04	-9.43306e-15	
45	3.828000e-01	1.131255e-13	-6.68715e-04	-1.02680e-14	
46	3.928000e-01	1.203612e-13	-6.68715e-04	-9.80916e-15	
47	4.028000e-01	1.271090e-13	-6.68715e-04	-1.07934e-14	
48	4.128000e-01	1.335051e-13	-6.68715e-04	-1.11183e-14	
49	4.228000e-01	1.393109e-13	-6.68715e-04	-1.12617e-14	
50	4.328000e-01	1.446974e-13	-6.68715e-04	-1.13119e-14	
51	4.428000e-01	1.493860e-13	-6.68715e-04	-1.11011e-14	
52	4.528000e-01	1.536217e-13	-6.68715e-04	-1.15488e-14	
53	4.628000e-01	1.570932e-13	-6.68715e-04	-1.12666e-14	
54	4.728000e-01	1.600532e-13	-6.68715e-04	-1.13113e-14	

Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
55	4.828000e-01	1.622335e-13	-6.68715e-04	-1.14356e-14	
56	4.928000e-01	1.638528e-13	-6.68715e-04	-1.19769e-14	
57	5.028000e-01	1.646763e-13	-6.68715e-04	-1.20860e-14	
58	5.128000e-01	1.649226e-13	-6.68715e-04	-1.17632e-14	
59	5.228000e-01	1.643468e-13	-6.68715e-04	-1.15228e-14	
60	5.328000e-01	1.632139e-13	-6.68715e-04	-1.13881e-14	
61	5.428000e-01	1.612562e-13	-6.68715e-04	-1.14800e-14	
62	5.528000e-01	1.587445e-13	-6.68715e-04	-1.13245e-14	
63	5.628000e-01	1.554182e-13	-6.68715e-04	-1.13383e-14	
64	5.728000e-01	1.515770e-13	-6.68715e-04	-1.01470e-14	
65	5.828000e-01	1.469223e-13	-6.68715e-04	-9.65783e-15	
66	5.928000e-01	1.418078e-13	-6.68715e-04	-9.24426e-15	
67	6.028000e-01	1.359227e-13	-6.68715e-04	-9.93516e-15	
68	6.128000e-01	1.295908e-13	-6.68715e-04	-8.65182e-15	
69	6.228000e-01	1.225630e-13	-6.68715e-04	-9.18183e-15	
70	6.328000e-01	1.151439e-13	-6.68715e-04	-8.59545e-15	
